restaurant_id,name,cuisine,price
1,Kilian Stuba,Creative,$$$$$
2,Pfefferschiff,Classic cuisine,$$$$$
3,Esszimmer,Creative,$$$$$
4,Carpe Diem,Market cuisine,$$$$$
5,Edvard,Modern cuisine,$$$$
6,Das Loft,Modern cuisine,$$$$$
7,Pramerl & the Wolf,Creative,$$$$$
8,Walter Bauer,Classic cuisine,$$$$$
9,SHIKI,Japanese,$$$$$
10,Tian,Vegetarian,$$$$$
11,aend,Modern cuisine,$$$$$
12,Le Ciel by Toni Mörwald,Classic cuisine,$$$$$
13,Chez TJ,Contemporary,$$$$
14,Protégé,Contemporary,$$$
15,Madera,Contemporary,$$$
16,The Village Pub,Contemporary,$$$
17,Plumed Horse,Contemporary,$$$$
18,Wakuriya,Japanese,$$$$
19,Sushi Yoshizumi,Japanese,$$$$
20,Rasa,Indian,$$
21,Maum,Korean,$$$$
22,Al's Place,Californian,$$
23,Aster,Californian,$$$
24,Omakase,Japanese,$$$$
25,Commonwealth,Contemporary,$$
26,Luce,Contemporary,$$$
27,Birdsong,American,$$$$
28,In Situ,International,$$$$
29,Mourad,Moroccan,$$$
30,Hashiri,Japanese,$$$$
31,Angler,Contemporary,$$$$
32,Rich Table,Contemporary,$$$
33,Kin Khao,Thai,$$
34,Michael Mina,Contemporary,$$$$
35,Sons & Daughters,Contemporary,$$$$
36,Mister Jiu's,Chinese,$$$
37,Nico,Contemporary,$$$
38,jū-ni,Japanese,$$$$
39,Keiko à Nob Hill,Fusion,$$$$
40,The Progress,Californian,$$$
41,State Bird Provisions,American,$$
42,Octavia,Californian,$$$
43,SPQR,Italian,$$$
44,Lord Stanley,Californian,$$$
45,Kinjo,Japanese,$$$$
46,Sorrel,Californian,$$$
47,Gary Danko,Contemporary,$$$$
48,Bar Crenn,French,$$$
49,Spruce,Californian,$$$
50,Wako,Japanese,$$$$
51,Madcap,Contemporary,$$$$
52,Aubergine,Contemporary,$$$$
53,Kenzo,Japanese,$$$$
54,La Toque,Contemporary,$$$$
55,Bouchon,French,$$$
56,Auberge du Soleil,Californian,$$$$
57,Farmhouse Inn & Restaurant,Californian,$$$$
58,The Kitchen,Contemporary,$$$$
59,Madrona Manor,Contemporary,$$$$
60,Harbor House,Californian,$$$$
61,Shin Sushi,Japanese,$$$
62,Rustic Canyon,Californian,$$$
63,Dialogue,Contemporary,$$$$
64,Kato,Asian,$$$
65,CUT,Steakhouse,$$$$
66,Nozawa Bar,Japanese,$$$$
67,Shunji,Japanese,$$$$
68,Maude,Contemporary,$$$$
69,Mori Sushi,Japanese,$$$$
70,Trois Mec,Contemporary,$$$$
71,Osteria Mozza,Italian,$$$
72,Kali,Californian,$$$
73,Le Comptoir,Californian,$$$$
74,Q Sushi,Japanese,$$$$
75,Shibumi,Japanese,$$$$
76,Hayato,Japanese,$$$$
77,Bistro Na's,Chinese,$$
78,Orsa & Winston,Fusion,$$$$
79,Taco María,Mexican,$$$
80,Hana re,Japanese,$$$$
81,Addison,Contemporary,$$$$
82,Parachute,Fusion,$$
83,Goosefoot,Contemporary,$$$$
84,Elizabeth,Contemporary,$$$$
85,EL Ideas,Contemporary,$$$$
86,Band of Bohemia,Gastropub,$$$
87,Schwa,Contemporary,$$$$
88,Temporis,Contemporary,$$$$
